,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
90,1970,0.255,0.035,-0.12,0.41,0.355,-0.03,0.16499999,0.22999999,0.08499999,0.07,-0.25,0.049999997
91,1971,-0.155,-0.15,-0.049999997,0.055,-0.605,-0.45,-0.26,-0.22,0.02,-0.33499998,-0.435,-0.19
92,1972,0.12,-0.945,-0.19999999,-0.685,0.155,0.52,0.355,0.02,-0.12,0.13,0.33499998,0.45999998
93,1973,0.745,1.0699999,0.28,0.895,0.355,0.099999994,0.19999999,0.02,0.13499999,0.024999999,-0.16499999,-0.385
94,1974,-0.21,-0.16,0.14,0.34,0.005,-0.099999994,0.04,0.024999999,0.08,0.245,0.255,-0.59499997
95,1975,-0.42999998,-0.07,-0.02,0.155,-0.17,-0.265,-0.38,0.024999999,-0.11,0.16499999,-0.59,-0.59999996
96,1976,-0.225,0.03,-0.089999996,-0.245,-0.29,-0.475,0.0,-0.29,-0.155,0.31,0.74,0.32
97,1977,0.13,0.055,0.78999996,0.01,-0.575,-0.114999995,0.0,0.11,0.265,0.38,0.78999996,0.24
98,1978,-0.26999998,-0.29,-0.56,-0.075,0.055,-0.065,-0.11,-0.01,-0.29,0.25,0.21,0.37
99,1979,0.705,0.16,-0.29999998,0.42999998,0.114999995,0.51,0.385,0.22999999,0.17999999,0.48,0.885,0.65
100,1980,0.45999998,0.51,0.19999999,0.78,0.655,0.07,0.19,0.14999999,0.305,0.355,0.56,0.495
101,1981,0.105,0.51,0.075,0.055,0.08,0.22999999,0.0,0.15,0.19,0.17999999,-0.089999996,-0.08499999
102,1982,0.635,-0.175,-0.20499998,-0.42999998,0.04,-0.01,0.42999998,0.17,0.245,0.48999998,0.22,0.26
103,1983,0.005,-0.295,-0.42,-0.76,0.04,0.635,0.63,0.37,0.42,0.055,0.01,-0.155
104,1984,-0.19999999,-0.27499998,0.47,0.29,0.365,-0.005,-0.25,-0.105,-0.42,0.035,-0.07,0.31
105,1985,0.32,0.35,0.775,0.31,0.29,0.065,-0.33499998,0.13499999,0.03,-0.19,-0.024999999,0.495
106,1986,0.17999999,-0.01,0.024999999,0.01,0.03,0.375,0.049999997,0.06,0.145,0.13,0.45999998,0.44
107,1987,0.59,0.59499997,0.29,0.114999995,-0.04,0.77,0.59499997,0.75,0.75,0.59,0.91999996,0.58
108,1988,1.22,1.23,0.45999998,0.605,0.48,0.41,0.42999998,0.245,0.635,0.37,0.32,0.65
109,1989,-0.114999995,-0.035,-0.02,-0.26,0.24,-0.265,0.06,0.04,0.28,0.35,0.45999998,0.21
110,1990,1.295,0.39499998,-0.59499997,-0.19,-0.14999999,0.19999999,-0.13,0.17999999,0.075,0.01,0.71,0.45
111,1991,0.105,0.81,0.67499995,0.02,0.39499998,0.105,0.53999996,-0.08,0.345,0.099999994,0.044999998,0.20499998
112,1992,0.145,-0.415,0.225,0.185,-0.14999999,0.51,0.175,-0.049999997,0.055,-0.125,0.195,0.095
113,1993,0.13,0.565,-0.295,-0.04,0.19,0.325,0.385,0.37,0.14999999,0.145,0.5,0.245
114,1994,0.89,0.16,0.475,-0.26999998,0.51,0.07,-0.16499999,0.049999997,0.25,-0.06,0.34,0.31
115,1995,-0.275,0.17999999,-0.044999998,0.11,0.37,1.11,0.29999998,0.345,0.33499998,0.53,0.515,0.435
116,1996,0.42,0.445,0.87,0.089999996,0.17999999,0.099999994,0.365,0.0,0.21,-0.04,0.415,0.27499998
117,1997,0.11,-0.195,0.24,-0.875,-0.015,0.13,0.39499998,0.39999998,0.435,0.08,0.78499997,0.23499998
118,1998,0.645,0.775,-0.175,0.83,1.09,1.0699999,0.53,0.78499997,0.745,0.97499996,1.165,0.825
119,1999,0.655,1.29,0.93,1.0,0.06,-0.049999997,0.32999998,0.25,0.35999998,0.45,0.87,0.35999998
120,2000,0.64,-0.27999997,-0.17999999,0.44,0.024999999,-0.095,0.19,0.475,0.39,0.81,0.80499995,0.74
121,2001,0.34,1.045,0.41,0.255,0.5,0.035,0.29,0.52,0.835,0.77,1.28,0.98999995
122,2002,0.62,0.66999996,0.79499996,0.79499996,0.59499997,0.555,0.97999996,0.45999998,0.29999998,0.78,0.93,1.12
123,2003,0.575,0.9,0.39,0.84999996,0.40999997,0.69,0.48,0.64,0.45499998,0.53499997,0.88,0.56
124,2004,0.45,0.53,1.8599999,0.775,0.225,0.07,0.38,0.435,0.65,-0.02,0.575,0.96999997
125,2005,0.66999996,0.69,0.765,0.285,0.34,1.16,0.53499997,0.71,0.57,0.42,0.52,0.375
126,2006,0.7,2.6,0.52,0.26,0.41,0.47,0.56,0.45499998,0.58,0.90999997,1.2099999,0.84499997
127,2007,0.92499995,0.565,0.32,0.66499996,0.57,0.56,0.58,0.65999997,0.62,0.39999998,0.84999996,0.745
128,2008,0.5,-0.78,0.55499995,0.25,0.215,0.065,0.34,0.355,0.57,0.88,0.905,1.56
129,2009,1.6999999,1.895,1.045,0.825,0.53,0.85999995,0.78,0.98999995,1.06,0.555,0.76,1.0799999
