,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
38,1938,-0.6006667,-1.9778333,0.4173333,0.5448333,1.8461666,-1.3098333,0.33333334,0.57316667,0.5255,0.14133333,-1.5958333,-0.233
39,1939,0.74649996,-0.35466665,-2.935,-1.9658333,0.722,-0.611,0.18,0.875,0.5463333,0.49433333,-0.08366666,0.6346666
40,1940,0.7301666,-0.20166667,-1.9723333,-1.3186666,0.65099996,0.10699999,0.54433334,-0.34583333,-0.4293333,0.26333335,0.783,-0.29833332
41,1941,-0.2823333,0.85483336,1.627,1.8646666,1.392,-0.23449999,0.5463333,0.738,-0.092666656,1.8791665,0.393,0.8816666
42,1942,-0.7151667,-0.3076667,1.016,1.2248333,0.66049993,0.5948333,-0.44649997,-0.48649997,-0.67566663,-0.13383333,0.86583334,-0.83066666
43,1943,-0.31199998,-0.2665,0.33449998,-1.1331667,0.167,-0.3625,-0.15916666,-0.54233336,0.22,-0.34149998,0.39916664,1.0265
44,1944,-0.47766668,-1.2533333,-1.1606667,-0.8018333,1.1271666,-0.26283333,0.07383333,-0.4,-0.5905,-0.917,0.015666667,0.06933333
45,1945,-1.8323333,-1.3873333,-0.17133333,-1.5053333,-0.1135,0.33699998,-0.18466666,0.12066666,-0.12366666,-0.68983334,-0.24016666,-1.2923334
46,1946,0.6683333,1.4898334,-0.6923333,2.0806665,0.77566665,0.063333325,0.30916664,0.21033333,0.1375,0.53283334,-0.786,-1.0483333
47,1947,-0.52149993,-0.023666669,0.7596666,1.2238333,1.2866666,1.3075,0.95983326,0.80833334,-0.0705,-0.93116665,1.0031667,0.017833332
48,1948,0.46433333,-0.74866664,-1.0274999,0.9521666,1.4675,0.08133333,0.24366665,-0.343,0.16333334,0.3145,-0.8833333,-0.529
49,1949,1.0418333,-0.71716666,-0.1585,1.046,1.4983333,-0.706,-0.08383333,-0.15883332,0.78683335,-0.52133334,-1.6846665,-0.972
50,1950,0.44283333,-2.4959998,-1.7578332,-1.7173332,0.41116667,0.162,-0.1765,-0.31966668,-0.9166666,-0.75766665,-1.3066666,-1.7761667
51,1951,-0.44366664,-0.778,-0.67066664,-2.0408332,-0.08749999,-0.37,0.6678333,0.17083332,0.694,2.4495,1.0416666,0.7131666
52,1952,0.8851667,1.3408334,-0.6868333,1.3698332,0.861,0.008499999,-0.1145,-0.29916665,0.3245,0.1245,-0.07633333,0.07133333
53,1953,-0.36633334,1.8481667,2.5146668,0.65849996,0.98700005,0.65833336,0.27916667,-0.18383333,-0.042999998,-0.39083332,-0.20899998,2.1875
54,1954,-0.8213333,0.1945,-0.058000002,0.5656666,1.4141667,0.377,0.20016667,0.7083333,0.2495,-1.7813333,-0.24366665,-0.4933333
55,1955,-0.16033334,0.745,1.4508332,-1.6426666,-1.2833333,0.27466667,0.27783334,-0.21799998,-0.1295,-1.0308334,-0.29983333,0.22099999
56,1956,-0.04033333,0.24499999,-0.17716666,0.50916666,2.079,-0.5708333,-1.1865,-0.7761666,0.49400002,-1.0506666,-0.7915,-0.12516667
57,1957,-0.62733334,-1.643,-1.2753333,-1.861,-1.6679999,-0.5675,0.31066665,-0.078666665,-0.6331666,-0.40299997,0.084,-0.062
58,1958,1.5851666,0.1585,0.79433334,1.8048333,0.023166666,0.7036667,0.16483332,0.13149999,-0.21283333,-0.2835,-0.2713333,0.4895
59,1959,-0.05316667,-1.1838334,0.76733327,0.42749998,-0.20166665,0.52849996,-0.59583336,0.20316666,0.509,1.0226667,-0.43483335,0.015
60,1960,-0.24816667,2.6671667,-1.4023334,-1.5446666,0.049000002,0.53666663,0.19083333,0.6166667,0.5538333,-0.04566667,-0.633,0.19316667
61,1961,0.47133332,-2.014,0.2375,-0.96916664,0.25149998,-0.17316666,0.21016666,0.08466666,0.655,-0.73249996,-1.5823332,-1.8661667
62,1962,-0.72783333,0.2635,-0.296,0.23016666,0.019,0.061333336,0.4403333,0.14933333,-0.8808333,-1.12,-0.9115,-0.9126666
63,1963,0.08816667,1.8233333,-0.44016665,-0.5646666,-1.0668333,0.374,0.8873333,0.26483333,-0.164,0.7586667,0.5578334,0.101333335
64,1964,-1.8691667,-0.45949998,1.5083333,0.6241666,-0.8725,-0.50666666,-0.6755,0.3195,-0.060166664,-0.4256667,-0.9305,-0.67099994
65,1965,1.6666665,-0.457,-0.9316666,-2.4486666,-1.353,0.20483333,-0.06283333,-0.34966666,-0.1735,0.8263333,0.95416665,-0.9983333
66,1966,1.3021666,2.2145,-0.25583333,-0.9471666,-0.30166668,-0.109,0.29349998,0.07416666,-0.5828333,-0.223,-0.7136667,-0.8881666
67,1967,-0.93116665,1.3463333,-1.3316666,-1.2938333,-0.96999997,0.21333334,0.23133332,-0.325,-0.025,-0.8468333,-0.37016666,-0.247
68,1968,-1.0146667,-1.9936665,-0.2175,-0.49349996,-1.4071667,0.26916665,0.152,-0.07316666,0.8068333,-0.76199996,-0.07066667,-0.1965
69,1969,0.102,-0.2595,2.1275,-0.14516667,-0.93466663,0.46066666,0.31116667,0.19933333,-0.086666666,0.7105,1.0091666,0.92366666
70,1970,0.5811666,0.04883333,-0.74516666,1.457,1.3413333,-0.16016667,0.372,0.43216667,0.26016667,0.75183326,-0.20916668,0.2685
71,1971,-0.43483335,0.16416666,0.39933333,1.3568333,-0.18283333,-0.4105,-0.49766666,-0.28583333,-0.5308333,-0.1795,0.2865,0.892
72,1972,0.8343333,-2.8606668,0.2961667,-0.97283334,0.24766666,0.44883335,0.22033332,-0.12666667,-0.59599996,-0.72316664,0.29766664,0.25833333
73,1973,0.0135,1.193,-0.18466666,1.4883332,0.7793333,0.44783333,0.09449999,-0.21266666,0.3335,-0.25533333,-0.06316666,-0.87466663
74,1974,-0.043999996,-1.3493333,1.5911667,1.5826666,0.17549999,-0.49999997,-0.023333333,0.34816664,0.4825,-0.058833327,-0.46449998,-1.418
75,1975,-0.90016663,-0.95016664,-0.7136667,0.32816666,0.55933326,-0.7609999,-0.84416664,-0.14883332,-0.5045,0.475,-1.2551666,-0.063999996
76,1976,0.7353333,0.0026666655,-0.6893333,-0.48133332,0.12966666,-1.0283333,0.13483332,-0.8513334,-0.4945,0.5,1.186,0.21816666
77,1977,-0.1195,0.5995,2.2425,0.14966665,-1.1068332,-0.654,-0.5595,0.015333333,-0.4013333,0.6561667,1.8128333,0.7276667
78,1978,-0.604,-0.86066663,-1.7929999,0.20199999,2.0945,0.07833333,-0.95549995,-0.22833332,-0.2335,0.3383333,0.206,0.44216666
79,1979,0.67599994,-0.77166665,-1.3311666,0.91066664,-1.1323334,0.46949998,0.335,0.23483332,0.07966666,0.92450005,1.5,0.7145
80,1980,0.46133333,0.7263333,-0.743,1.7298334,1.5528333,-0.313,-0.26833335,0.21183331,0.31216666,0.78866667,0.5935,0.39816666
81,1981,0.37766665,0.77066666,-0.40850002,0.593,0.6925,0.59583336,-0.37683332,0.13133332,0.39433333,-0.20166665,-0.7556667,-0.06633333
82,1982,0.8623333,-1.1971667,-1.9771667,-0.7743333,-1.6601666,-0.22516665,0.9763333,-0.005833334,0.050833333,0.36699998,0.018666664,0.34566668
83,1983,-0.26566666,-1.0691665,-1.3314999,-2.3951666,-0.93516666,-0.50233334,0.049666665,0.3385,0.4073333,-0.6365,-0.506,-0.20333333
84,1984,-0.467,-1.9848332,1.5315,0.32683334,1.7318332,0.2528333,-0.29683334,-0.08433332,-0.898,-0.5868333,-0.34433332,-0.041
85,1985,0.18149999,0.72216666,1.8396666,0.51666665,0.85316664,0.18666667,-0.32916662,0.022166666,0.07433333,-0.9173333,0.14383334,0.72083336
86,1986,0.009500001,-0.43699998,-0.58166665,-0.092,-0.9683333,-0.15949999,-0.50633335,-0.07266666,0.1945,0.13983332,0.847,-0.79033333
87,1987,0.70816666,1.1733334,0.5728333,0.4033333,-1.8751665,0.23566666,1.3876667,1.3124999,1.3688333,0.4433333,0.84499997,0.26833332
88,1988,1.6591666,1.3269999,-0.020666666,1.3503333,1.8386667,0.055499997,-0.070999995,-0.015333333,0.73283327,-0.1145,0.30133334,0.7926666
89,1989,-0.74016666,-0.5665,-0.47133332,-0.8386667,0.24049999,-0.8728333,-0.16883333,-0.33116668,0.1765,0.23933333,0.40416667,0.119333334
90,1990,2.1428335,0.096499994,-1.4391667,-0.2395,0.29583332,0.2688333,-0.4638333,0.23883334,0.16499999,-0.412,0.92116666,0.37416664
91,1991,-0.33516666,0.21666667,0.11366667,-0.88449997,0.07716667,-0.071166664,1.0586666,-0.118,0.17199999,-0.5086667,-0.023999998,0.36716664
92,1992,0.6228333,-0.6996667,-0.255,-0.59066665,-0.70816666,0.5761667,-0.025999999,-0.2175,-0.595,-0.36083332,0.19399999,0.9248333
93,1993,0.22399999,1.6194999,-1.36,-0.100999996,0.9975,0.152,-0.0975,0.77516663,-0.17199999,0.18483333,0.77966666,0.5528333
